INSERT INTO TRANSACTION VALUES ('T00001', 'M1416', TO_DATE('01-Dec-2017', 'DD/MM/YYYY'), 49.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00002', 'M0936', TO_DATE('01-Dec-2017', 'DD/MM/YYYY'), 136.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00003', 'M0419', TO_DATE('01-Dec-2017', 'DD/MM/YYYY'), 81.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00004', 'M0368', TO_DATE('01-Dec-2017', 'DD/MM/YYYY'), 94.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00005', 'M0681', TO_DATE('01-Dec-2017', 'DD/MM/YYYY'), 88.0, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00006', 'M1091', TO_DATE('01-Dec-2017', 'DD/MM/YYYY'), 79.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00007', 'M1307', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 99.9, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00008', 'M1253', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 67.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00009', 'M0220', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 160.3, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00010', 'M0202', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 92.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00011', 'M0221', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 76.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00012', 'M0567', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 32.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00013', 'M0951', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 11.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00014', 'M0578', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 29.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00015', 'M0530', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 38.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00016', 'M0955', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 31.8, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00017', 'M1247', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 26.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00018', 'M0042', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 196.3, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00019', 'M0205', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 108.6, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00020', 'M0356', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 44.5, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00021', 'M0511', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 55.9, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00022', 'M0724', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 122.9, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00023', 'M0278', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 183.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00024', 'M0631', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 48.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00025', 'M0389', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 48.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00026', 'M0699', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 69.9, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00027', 'M1281', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 202.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00028', 'M0660', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 32.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00029', 'M0134', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 23.8, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00030', 'M0895', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 55.9, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00031', 'M0045', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 104.3, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00032', 'M1263', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 48.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00033', 'M0336', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 58.5, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00034', 'M0937', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 81.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00035', 'M1480', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 84.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00036', 'M1291', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 159.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00037', 'M0866', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 63.0, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T00038', 'M0511', TO_DATE('02-Dec-2017', 'DD/MM/YYYY'), 45.5, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00039', 'M0610', TO_DATE('03-Dec-2017', 'DD/MM/YYYY'), 11.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00040', 'M0679', TO_DATE('03-Dec-2017', 'DD/MM/YYYY'), 74.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00041', 'M0299', TO_DATE('03-Dec-2017', 'DD/MM/YYYY'), 48.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00042', 'M0889', TO_DATE('03-Dec-2017', 'DD/MM/YYYY'), 69.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00043', 'M0190', TO_DATE('03-Dec-2017', 'DD/MM/YYYY'), 71.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00044', 'M0642', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 109.1, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00045', 'M1128', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 80.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00046', 'M0494', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 94.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00047', 'M1039', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 25.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00048', 'M1463', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 43.0, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00049', 'M1157', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 45.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T00050', 'M0680', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 211.5, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T00051', 'M0927', TO_DATE('04-Dec-2017', 'DD/MM/YYYY'), 48.4, 'E-Wallet');
