INSERT INTO BUSSCHEDULE VALUES ('SE0001', 'R004', 'D009', 'FBG6123', TO_DATE('01-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:46', 'HH24:MI'), 'ON TIME', 22);
INSERT INTO BUSSCHEDULE VALUES ('SE0002', 'R009', 'D038', 'EAK2589', TO_DATE('01-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:46', 'HH24:MI'), 'ON TIME', 25);
INSERT INTO BUSSCHEDULE VALUES ('SE0003', 'R003', 'D023', 'FGD4177', TO_DATE('01-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:59', 'HH24:MI'), 'ON TIME', 28);
INSERT INTO BUSSCHEDULE VALUES ('SE0004', 'R006', 'D010', 'AOI9521', TO_DATE('02-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('14:23', 'HH24:MI'), 'ON TIME', 25);
INSERT INTO BUSSCHEDULE VALUES ('SE0005', 'R007', 'D022', 'FMA5211', TO_DATE('03-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('14:20', 'HH24:MI'), 'ON TIME', 16);
INSERT INTO BUSSCHEDULE VALUES ('SE0006', 'R005', 'D004', 'KJB8298', TO_DATE('05-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('11:12', 'HH24:MI'), 'ON TIME', 38);
INSERT INTO BUSSCHEDULE VALUES ('SE0007', 'R003', 'D026', 'IDO7977', TO_DATE('05-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('15:55', 'HH24:MI'), 'DELAYED', 16);
INSERT INTO BUSSCHEDULE VALUES ('SE0008', 'R005', 'D010', 'LOG2731', TO_DATE('05-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:48', 'HH24:MI'), 'ON TIME', 35);
INSERT INTO BUSSCHEDULE VALUES ('SE0009', 'R006', 'D022', 'CGI2532', TO_DATE('05-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:10', 'HH24:MI'), 'ON TIME', 25);
INSERT INTO BUSSCHEDULE VALUES ('SE0010', 'R003', 'D040', 'HBD9947', TO_DATE('06-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('18:30', 'HH24:MI'), 'ON TIME', 22);
INSERT INTO BUSSCHEDULE VALUES ('SE0011', 'R008', 'D008', 'BAJ1333', TO_DATE('06-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:41', 'HH24:MI'), 'ON TIME', 39);
INSERT INTO BUSSCHEDULE VALUES ('SE0012', 'R007', 'D036', 'CIH6968', TO_DATE('06-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:59', 'HH24:MI'), 'ON TIME', 22);
INSERT INTO BUSSCHEDULE VALUES ('SE0013', 'R006', 'D003', 'JKE9495', TO_DATE('06-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:10', 'HH24:MI'), 'ON TIME', 21);
INSERT INTO BUSSCHEDULE VALUES ('SE0014', 'R010', 'D022', 'FCG2912', TO_DATE('07-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('19:39', 'HH24:MI'), 'ON TIME', 24);
INSERT INTO BUSSCHEDULE VALUES ('SE0015', 'R001', 'D022', 'HNF8387', TO_DATE('08-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('12:36', 'HH24:MI'), 'ON TIME', 23);
INSERT INTO BUSSCHEDULE VALUES ('SE0016', 'R009', 'D003', 'CIH6968', TO_DATE('08-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('19:20', 'HH24:MI'), 'ON TIME', 20);
INSERT INTO BUSSCHEDULE VALUES ('SE0017', 'R008', 'D034', 'FBG6123', TO_DATE('08-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('19:47', 'HH24:MI'), 'ON TIME', 25);
INSERT INTO BUSSCHEDULE VALUES ('SE0018', 'R002', 'D029', 'KLM1684', TO_DATE('08-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:50', 'HH24:MI'), 'ON TIME', 24);
INSERT INTO BUSSCHEDULE VALUES ('SE0019', 'R003', 'D011', 'HGG3653', TO_DATE('09-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('19:24', 'HH24:MI'), 'ON TIME', 25);
INSERT INTO BUSSCHEDULE VALUES ('SE0020', 'R004', 'D033', 'CGI2532', TO_DATE('09-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('19:30', 'HH24:MI'), 'DELAYED', 18);
INSERT INTO BUSSCHEDULE VALUES ('SE0021', 'R005', 'D012', 'HBD9947', TO_DATE('09-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:16', 'HH24:MI'), 'ON TIME', 29);
INSERT INTO BUSSCHEDULE VALUES ('SE0022', 'R006', 'D027', 'ELJ4854', TO_DATE('10-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('13:31', 'HH24:MI'), 'ON TIME', 38);
INSERT INTO BUSSCHEDULE VALUES ('SE0023', 'R004', 'D021', 'ILD8716', TO_DATE('10-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:32', 'HH24:MI'), 'DELAYED', 34);
INSERT INTO BUSSCHEDULE VALUES ('SE0024', 'R007', 'D005', 'HNF8387', TO_DATE('12-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('18:28', 'HH24:MI'), 'ON TIME', 27);
INSERT INTO BUSSCHEDULE VALUES ('SE0025', 'R001', 'D029', 'JKE9495', TO_DATE('13-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('15:23', 'HH24:MI'), 'ON TIME', 17);
INSERT INTO BUSSCHEDULE VALUES ('SE0026', 'R005', 'D005', 'LOG2731', TO_DATE('13-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('18:44', 'HH24:MI'), 'ON TIME', 38);
INSERT INTO BUSSCHEDULE VALUES ('SE0027', 'R008', 'D032', 'HLL5666', TO_DATE('13-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:42', 'HH24:MI'), 'DELAYED', 39);
INSERT INTO BUSSCHEDULE VALUES ('SE0028', 'R004', 'D016', 'KLM1684', TO_DATE('13-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:43', 'HH24:MI'), 'ON TIME', 23);
